Fase;Banco;Tipo de tronadura;Tipo Material;M;Dominio Estructural;Diámetro;BxS;Tiempo entre Pozos Filas ms;Fc;Tipo Explosivo;P10;P20;P30;P40;P50;P60;P70;P80;P90;P100;Este;Norte;Cota;B;S;tiempo_1;tiempo_2
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;503.0;J;0.4;0.9;1.9;2.6;3.4;4.0;5.0;6.0;6.9;10.1;59332.8;90333.9;2990.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;503.0;J;0.5118113;1.0236226000000002;2.0472452000000003;2.8740173;3.7795296;4.4488213;5.2362233;6.5354366;7.0078778;8.7795323;59303.0;90387.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;501.0;L;0.4724412;0.9055122999999999;1.6141741000000003;2.6771668;3.5039388999999996;4.2913409;5.0787429;5.6299243;6.9685077;9.4881941;58835.0;90743.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;462.0;J;0.6299216;1.4566937;2.4803162999999997;3.3464585;4.094490400000001;4.8031522;5.6299243;6.0629954;7.1259881;9.4881941;59437.0;89972.0;2975.0;6.5;6.5;11.0;105.0
Stage 2;3575.0;Tronadura 1;Roca 2;L1;Norte;10.625;7.5x9;17-120;271.0;F;0.9055123;1.8503947;2.362206;2.755907;3.0314977;3.5826791;4.1338605;4.6456718;5.4724439;9.1338632;59014.0;91719.0;3575.0;7.5;9.0;17.0;120.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;468.0;J;0.8267721;1.5354339;2.4015761;3.2283482;4.0551203000000005;4.6456718;5.5511840999999995;6.6141768;7.5196891;10.0787456;59223.0;90620.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;513.0;B;0.6299216;1.3779535;2.0078751;2.5196864;3.1102379;3.7795296;4.2126007;4.9606326;5.7086645;8.4252014;59259.0;90145.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;468.0;J;0.8661422;1.4960638000000002;2.4015761;3.2677183;4.094490400000001;5.0787429;6.2204758;6.9291376;8.5039416;11.7322898;59244.0;59252.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;468.0;J;0.2362206;0.6299216;2.1259854;3.149608;3.8976398999999997;4.5275615;5.3543335999999995;6.4566964;7.0472479;13.1102433;59214.0;90707.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;513.0;B;0.1968505;0.4724412;1.1417329;2.0472452;3.149608;3.8976399;4.6456718;5.7874047;6.9685077;7.9921303;59268.0;90173.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;501.0;L;0.35;0.55;2.05;3.31;3.9;4.37;5.12;5.83;6.61;11.89;58837.5;90751.4;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;487.0;J;0.39;0.75;1.14;1.85;2.99;4.13;5.2;6.34;8.31;15.47;59250.8;90606.4;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;470.0;J;0.4;1.0;2.2;3.1;3.7;4.3;5.1;6.1;7.1;10.1;58922.0;90793.9;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;470.0;J;0.1;0.4;0.8;2.2;3.2;3.9;4.9;6.2;7.8;13.3;58915.1;90808.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;468.0;L;0.2;0.5;0.9;1.8;3.0;4.0;5.2;6.3;8.5;12.2;59186.8;90442.8;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 2;L1;Noreste;10.625;7.5x9;11-105;341.0;K;0.51;0.87;1.22;1.65;2.36;3.11;4.09;5.31;7.44;12.99;59417.1;89698.9;2975.0;7.5;9.0;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;509.0;L;0.43;0.79;1.14;1.65;2.4;3.43;4.53;6.06;8.07;12.87;59203.7;90341.6;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;509.0;L;0.24;0.55;0.94;1.57;2.68;3.66;4.76;5.87;7.95;11.77;59197.0;90364.1;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;509.0;L;0.9448824;1.3385833999999999;1.8503947;2.4409462;3.0314977;3.6220492;4.291340900000001;5.4330738;5.7874047;8.7007921;59217.0;90345.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;500.0;L;0.393701;0.7086618;1.2598432;2.0472452;2.6377967;3.5826791;4.488191400000001;5.3543336;5.7480346;6.692917;59329.0;90132.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;462.0;J;0.6692917;1.181103;2.0866153;2.9133874;3.5826790999999996;4.4094512;4.8031522;5.511814;7.1653582;8.661422;59419.0;90038.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;468.0;J;0.3149608;0.7086618;1.5354339;2.362206;3.149608;3.8582698;4.724412;6.0629954;9.2519735;13.4645742;59266.0;90610.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;509.0;L;0.8267721;0.9055122999999999;1.6929143;3.0708678;3.8976398999999997;4.5669316;5.0787429;5.7086645;7.086618;10.3149662;59226.0;90322.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;465.0;J;0.8267721;1.2204731000000002;1.6535442;2.2440957;3.0314977;4.0944904;5.1968532;6.5354366;8.8976426;14.2913463;59056.0;90820.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;509.0;L;0.8661422;1.2598432;1.9291348999999998;2.5196864;3.2677183;3.8582698;4.6456718;5.8267748;7.3228386;9.1338632;59242.0;90322.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;465.0;J;0.4724412;0.7086618;0.9448824;1.4960638;2.7165369;3.7401595;5.0787429;6.2204758;8.3070911;9.8031549;59002.0;90821.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;509.0;L;0.4330711;0.6299216;0.9842525;2.2440957;3.4645687999999994;4.3700811;5.118113;5.5905542;7.5590592;8.5826818;59247.0;90353.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;467.0;J;0.6692917;1.2992133;2.2440957000000004;3.2677183;3.9763801;4.8031522;5.4330738;6.4566964;7.480319;11.2992187;59235.0;90756.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;509.0;L;0.5118113;0.8267721;1.4173236;2.0866153;2.9527575;3.6220492;4.6063017;5.6692944;7.0078778;9.4094539;59245.0;90376.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;467.0;J;0.3149608;0.6299216;1.0236226000000002;1.7716545;2.8346472;3.7401595;4.763782099999999;6.3779562;8.661422;12.992133;59255.0;90809.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;477.0;L;0.3149608;0.7086618;1.1417329;1.6535442;2.4409462000000004;3.3070884;4.291340900000001;5.5905542;7.3622087;13.0708732;59245.0;94230.0;2975.0;7.0;7.0;5.0;87.0
Stage 2;3590.0;Tronadura 1;Roca 2;L1;Norte;10.625;10x12.5;11-105;228.0;F;0.5118113;0.787402;1.1023628;1.4173236;1.8897648;2.5590565;3.543309;4.3700811;5.7480346;12.0866207;58929.0;91727.0;3590.0;10.0;12.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;484.0;J;0.1;0.4;0.7;1.4;2.5;3.8;4.8;6.3;9.0;12.0;59404.9;90067.1;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;463.0;J;0.1;0.4;0.6;1.2;2.5;3.7;4.6;6.0;7.2;12.0;58855.1;90786.3;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;484.0;J;0.12;0.35;0.59;1.02;2.01;3.15;4.53;6.14;8.27;13.03;59170.4;90532.1;2975.0;6.5;6.5;11.0;105.0
Stage 4;2960.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;492.0;K;0.35;0.55;0.98;2.13;3.58;4.25;5.35;6.22;7.68;10.67;59169.28;90532.41;2960.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;484.0;J;0.1;0.2;0.4;0.8;2.1;3.5;4.9;6.5;8.3;11.9;59389.9;90160.9;2975.0;6.5;6.5;11.0;105.0
Stage 4;2960.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;492.0;L;0.1;0.3;0.4;1.6;2.9;3.7;5.0;6.3;8.9;11.2;59165.0;90590.8;2960.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 2;L1;Noreste;10.625;7.5x9;11-105;341.0;K;0.1;0.4;0.6;1.0;1.7;2.6;3.8;5.1;7.6;13.4;59421.4;89674.8;2975.0;7.5;9.0;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;463.0;J;0.2;0.5;0.8;1.1;2.1;3.4;4.5;6.3;8.3;12.8;58845.8;90787.1;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 2;L1;Noreste;10.625;7.5x9;11-105;341.0;K;0.1;0.4;0.7;1.4;2.6;3.7;4.4;5.3;6.5;11.1;59416.8;89627.5;2975.0;7.5;9.0;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;463.0;J;0.2;0.6;0.9;1.3;2.0;3.3;4.6;6.1;7.8;16.7;58882.9;90781.4;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 2;L1;Noreste;10.625;7.5x9;11-105;341.0;K;0.3;0.6;0.9;1.3;1.8;2.6;3.8;5.2;7.6;10.9;59400.2;89660.6;2975.0;7.5;9.0;11.0;105.0
Stage 4;2960.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;492.0;L;0.2;0.5;0.8;1.1;1.8;2.9;4.4;6.1;8.2;14.4;59149.6;90656.4;2960.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 2;L1;Noreste;10.625;7.5x9;11-105;341.0;K;0.31;0.6;0.8;1.1;1.61;2.64;3.98;5.31;7.48;11.81;59396.2;89608.3;2975.0;7.5;9.0;11.0;105.0
Stage 4;2960.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;492.0;L;0.4;0.5;0.8;1.5;2.5;3.6;4.8;6.0;7.9;10.0;59142.5;90671.4;2960.0;7.0;7.0;5.0;87.0
Stage 4;2960.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;492.0;L;0.2755907;0.4724412;0.7086618;1.3385834;2.4015761;3.4251987;4.6063017;5.905515;8.1889808;10.1968559;59166.0;90699.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 2;L1;Sureste;10.625;7.5x9;11-105;244.0;F;0.3543309;0.5511814;0.7480319000000001;1.1023628;1.6535442;2.5590565;3.8188997000000002;5.2755934;6.8897675;9.2519735;59384.0;89537.0;2975.0;7.5;9.0;11.0;105.0
Stage 4;2960.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;484.0;B;0.5118113;0.7480319000000001;1.1023628;1.574804;2.2047256;3.0708678;4.0157502;5.7874047;7.9133901;13.3070938;59166.0;90726.0;2960.0;7.0;7.0;5.0;87.0
Stage 2;3560.0;Tronadura 2;Roca 2;L8;Norte;12.25;8.5x9.5;9-94;395.0;F;0.5118113;0.7086618;0.9448824;1.2598432;1.6141741000000003;2.1259854;2.6771667999999997;3.5826791;5.3149635;10.2755961;59168.0;91755.0;3560.0;8.5;9.5;9.0;94.0
Stage 4;2960.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;484.0;B;0.5118113;1.2598432;2.1259854;2.6771668;3.1102379;3.6614193;4.330711;5.2755934;6.692917;11.7322898;59062.8;90742.6;2960.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;349.0;K;0.4724412;0.9448824;2.1653555;3.3858286;4.2519708;5.0000027;5.905515;6.4566964;8.7007921;10.1968559;58805.6;90784.6;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Norte;10.625;6.5x6.5;11-105;349.0;K;0.4724412;0.7480319000000001;0.9448824;1.968505;2.9133874;3.7401595;4.8031522;6.2598459;9.5669343;11.0629981;59179.0;90180.0;2975.0;6.5;6.5;11.0;105.0
