P10;P20;P30;P40;P50;P60;P70;P80;P90;P100
0.7480319000000001;1.1417329;1.4960638000000002;1.968505;2.6771668;3.5039388999999996;4.4488213;5.6692944;8.0708705;13.976385500000001
0.35;0.75;1.14;1.81;2.68;3.86;4.76;6.02;8.07;15.24
0.08;0.24;0.35;0.71;1.34;2.2;3.07;3.92;4.49;6.57
1.1417329;1.8110246;2.4803163;2.9921276000000003;3.6220492;4.1732306;4.7637820999999985;5.5905542;6.8503974;10.7480373
0.9055122999999999;1.6929143;2.4409462000000004;3.3070884;4.0157502;4.5669316;5.1574830999999985;6.4173263;8.0315004;9.6456745
0.6299216;1.2992133;1.8897648;2.4803162999999997;3.1102379;3.7401595000000003;4.6456718;5.4330738;6.7322871;9.0157529
0.39;0.83;1.26;1.85;2.68;3.86;5.12;6.46;9.02;12.52
0.31;0.71;1.26;2.13;2.95;3.82;4.96;6.1;8.19;13.58
0.55;0.83;1.06;1.38;1.69;2.17;2.87;3.82;5.16;11.1
0.7480319000000001;1.0236226000000002;1.3385834;1.6929143;2.2440957000000004;2.9133874;3.7007894;4.488191400000001;6.0629954;11.5748094
0.7086618;0.9055123;1.1023628;1.2598432;1.4960638000000002;1.8897648;2.7165369;3.6614193;5.6692944;10.511816699999999
0.9842525;1.3779535;1.7716545;2.3228359;2.9527575;3.6220491999999997;4.330711;5.472443900000001;6.7716572;9.527564199999999
0.47;0.83;1.34;2.17;3.03;4.06;5.04;6.1;7.36;11.73
0.43;0.79;1.22;1.73;2.48;3.43;4.41;5.71;7.56;18.11
0.12;0.39;0.63;1.02;1.73;2.99;4.21;5.46;7.6;13.23
1.1023628;1.7322843999999995;2.5196864;3.2677183;3.8582698;4.4488213;5.118113;5.7874047;7.1259881;10.8661476
0.1;0.3;0.4;1.6;2.9;3.7;5.0;6.3;8.9;11.2
0.4724412;0.9055123;1.6141741000000005;2.6771667999999997;3.5039389;4.291340900000001;5.0787429;5.6299243;6.968507700000001;9.4881941
0.12;0.35;0.55;0.94;1.57;2.48;3.7;4.88;7.32;10.0
0.9055122999999999;1.6929143;2.2440957000000004;2.6771667999999997;3.149608;3.543309;4.0551203000000005;4.6850419;6.7716572;8.188980800000001
0.5118113000000001;0.7086618;0.9055123;1.181103;1.574804;2.1259854;2.755907;3.8188997000000002;6.1417356;10.7480373
0.39;0.59;0.87;1.22;1.65;2.17;2.87;3.58;4.61;7.95
0.9448824;1.4960638000000002;2.0866153;2.8740172999999998;3.5826791;4.2519708;4.9212625;5.8661449;7.4015788;12.755912400000001
0.35;0.51;0.71;0.94;1.38;1.89;2.6;3.54;4.33;7.28
0.5905515;0.787402;0.9842525;1.2992133;1.6535442;2.0866153;2.5590565;3.1889781000000004;4.4488213;6.8110273
0.08;0.28;0.55;0.91;1.57;2.48;3.86;5.71;8.43;11.5
0.24;0.59;0.91;1.38;2.01;3.15;4.53;6.22;9.17;18.31
0.31;0.59;0.79;1.1;1.46;1.97;2.72;3.73;4.84;10.71
0.47;0.83;1.18;1.69;2.36;3.31;4.37;5.74;7.83;15.83
0.7480319000000001;1.181103;1.4566937;1.7716545;2.0472452000000003;2.362206;2.755907;3.0708678;3.543309;4.881892400000001
0.8267721;1.574804;2.2047256;2.6771667999999997;3.1889781000000004;3.5826790999999996;3.93701;4.4488213;5.1968532;8.6220519
0.1574804;0.6692916999999999;1.2204731000000002;1.8110245999999999;2.5984266;3.543309;4.4488213;5.3937037000000005;7.3228386;11.417328999999999
0.43;0.75;1.02;1.34;1.73;2.28;2.91;3.66;4.88;8.54
0.393701;0.8267721;1.574804;2.1259854;2.5196864;2.8740172999999998;3.3464585;3.7795296;4.8425223;5.472443900000001
0.12;0.43;0.75;1.18;1.93;3.5;5.24;6.81;8.54;15.63
0.31;0.75;1.1;1.5;2.09;2.99;4.13;5.71;8.15;17.01
0.393701;0.7086618;1.181103;1.8110245999999999;2.6771668;3.4251987;4.291340900000002;5.2755934;6.377956200000001;12.3622114
0.8661421999999999;1.2204731000000002;1.574804;2.2047256;2.9133874;3.6614193;4.2519708;5.3149635;6.7716572;10.4330765
0.6692916999999999;1.968505;2.5984266;3.2283482000000006;3.8976399;4.5275615;5.0393728;5.6692944;7.0472479;8.8582725
0.7086618;0.9448824;1.2204731000000002;1.574804;2.0866153;2.6377967;3.3858286;4.370081099999999;6.1811057;10.944887800000002
0.5118113000000001;0.7086618;0.9448824;1.181103;1.574804;2.1259854;2.8740173;3.7007894;5.0000027000000005;8.661422
0.8661421999999999;1.2598432;1.6535442;2.2047256;2.9921276000000003;3.7795296;4.724412;5.8267748;7.677169500000001;11.7322898
0.24;0.67;1.81;2.56;3.39;4.37;4.88;5.55;6.65;9.45
0.5118113000000001;0.9448824;1.4566937;2.1259854;2.8346472;3.8188997000000002;4.5275615;5.6299243;7.165358199999999;12.007880499999999
0.12;0.51;0.75;1.18;1.93;2.95;4.17;5.75;7.76;12.52
0.5905515;0.9448824;1.5354339;2.0472452000000003;2.5590565;3.0708678;3.7007894;4.094490400000001;5.0787429;8.8976426
0.2362206;0.9448824;1.8897648;2.5984266;3.1889781000000004;3.8976398999999997;5.118113;5.7874047;8.582681800000001;11.850400099999998
0.5118113000000001;1.1023628;1.968505;2.7952771;3.5826791;4.4488213;5.1574830999999985;6.4173263;7.9133901;11.023628
0.12;0.2;0.47;0.79;1.34;2.68;4.61;6.57;9.92;20.43
0.6299216;0.8661421999999999;1.1417329;1.5354339;1.968505;2.4803162999999997;3.149608;3.7795296;5.1968532;11.535439300000002
0.7480319000000001;2.0472452000000003;2.6377967;3.543309;3.93701;4.370081099999999;5.1574830999999985;5.6692944;6.8503974;8.7795323
0.8267721;1.8110246;2.5984266;3.0314977;3.3464585;3.8582697999999995;4.4094512;5.0787429;5.6299243;6.8897675000000005
0.51;0.94;1.38;1.89;2.56;3.5;4.88;5.91;8.23;14.33
0.51;0.87;1.26;1.89;2.72;3.62;4.69;5.83;7.4;15.16
0.6692916999999999;1.1417329;1.4173236;1.8503947;2.362206;3.1102379;4.0944904000000015;5.2755934;6.968507700000001;8.976382800000001
0.08;0.35;1.34;2.09;3.03;3.78;4.72;6.1;7.28;8.35
0.31;0.67;1.1;1.73;2.64;3.58;4.72;5.91;8.23;13.5
0.51;0.83;1.18;1.54;2.01;2.83;4.09;5.94;8.74;20.35
0.08;0.16;0.35;0.59;1.1;1.81;2.8;4.37;6.18;10.59
0.67;0.98;1.34;1.81;2.48;3.54;4.76;6.34;8.7;15.94
0.7480319000000001;1.0236226000000002;1.3385834;1.6929143;2.1259854;2.5984266;3.0708678;3.7795296;4.6063017;7.716539599999999
0.6692916999999999;1.0629927;1.574804;2.0078751;2.4015761;2.8740172999999998;3.2677183;3.6614193;4.488191400000001;6.968507700000001
0.787402;1.0629927;1.3385834;1.6535442;2.2047256;2.9921276000000003;4.0551203000000005;5.6692944;8.4252014;12.992133
0.623125;0.901524;1.320256;1.728546;2.402516;3.0252654;3.852468;5.002155999999999;6.425135;9.504625
0.4724412;0.7480319000000001;1.0629927;1.4960638000000002;1.9291349;2.362206;2.9527575;3.7007894;5.0393728;7.086618
0.28;0.59;0.91;1.5;2.32;3.54;4.96;6.57;8.31;14.61
0.47;0.67;0.91;1.18;1.61;2.2;2.8;3.58;4.96;8.7
0.5511814;1.0236226000000002;1.5354339;2.4015761;3.2677183;4.0551203000000005;4.881892400000001;5.8267748;7.9921303;10.511816699999999
0.5789658000000001;1.6925896;2.3125841;3.0258974;3.842598600000001;4.5758965;5.974582;5.659873999999999;6.975896499999999;7.9425697
0.79;1.1;1.46;1.81;2.24;2.72;3.23;3.86;4.96;8.19
0.51;0.91;1.42;2.05;2.95;3.94;4.96;6.06;7.56;11.69
0.8661421999999999;1.6535442;2.2047256;2.7952771;3.1889781000000004;3.7795296;4.4488213;5.472443900000001;6.377956200000001;9.842525
0.43;0.79;1.06;1.61;2.52;3.74;4.84;6.34;8.54;19.53
0.5905515;1.2992133;2.0078751;2.6377967;3.149608;3.7007894;4.2519708;4.881892400000001;5.5511840999999995;8.0315004
0.31;0.67;1.1;1.69;2.48;3.31;4.25;5.28;6.93;11.77
0.7480319000000001;0.9448824;1.1417329;1.4173236;1.8503947;2.4015761;3.0314977;3.7795296;4.881892400000001;9.3700838
0.63;0.91;1.3;1.81;2.52;3.43;4.37;5.87;9.21;13.86
0.3543309;0.9842525;1.8110246;2.5590565;3.4251987;4.094490400000001;4.724412;5.8267748;6.968507700000001;9.4094539
1.0236226000000002;1.4566937;1.9291349;2.4803162999999997;3.0708678;3.6614193;4.330711;5.157483099999999;6.377956200000001;8.6220519
0.5905515;0.8661421999999999;1.2992133;1.8110245999999999;2.5196864;2.9921276000000003;3.6614193;4.291340900000001;5.3937037000000005;8.3070911
0.16;0.51;0.83;1.14;1.65;2.56;3.86;5.35;8.35;18.27
0.28;0.63;0.91;1.3;2.05;3.15;4.37;5.94;8.66;20.55
0.4724412;0.6692916999999999;0.9842525;1.4173236;1.8503947;2.3228359;2.7165369;3.3070884;4.094490400000001;6.0236253
0.71;0.91;1.1;1.3;1.54;1.93;2.72;4.49;7.09;12.76
0.2362206;0.4724412;0.7480319000000001;1.2992133;1.8897648;2.4015761;3.0314977;3.7795296;4.8425223;7.2834685
0.43307109999999993;0.7480319000000001;1.1417329;1.7322843999999997;2.2047256;2.9133874;3.7401595;5.6692944;8.0708705;12.755912400000001
0.3149608;1.181103;2.2047256;3.1102379;3.6220492;4.370081099999999;5.0787429;6.0236253;6.8503974;10.511816699999999
0.31;0.43;0.55;0.83;1.18;1.81;2.72;3.62;4.84;7.56
0.12;0.35;0.51;0.71;1.22;2.32;3.66;5.55;7.28;15.08
0.2;0.43;0.83;1.57;2.4;3.03;4.09;5.55;7.48;8.62
0.787402;1.574804;2.2047256;2.6377967;2.9921276000000003;3.4251987;3.8188997;4.291340900000001;5.472443900000001;7.3228386
0.7086618;1.7716545;2.4409462000000004;3.149608;3.6614193;4.370081099999999;4.9606325999999985;5.6692944;7.480319000000001;10.0393755
0.12;0.39;0.59;0.83;1.34;2.13;3.03;3.75;6.46;8.76
0.1968505;0.2755907;0.4330710999999999;0.6692916999999999;1.0629927;1.8897648;2.9921276000000003;3.8976398999999997;4.763782099999999;8.0315004
0.8267721;1.7716545;2.6771668;3.3464585;3.8976399;4.4488213;5.1968532;6.0236253;7.9133901;10.196855900000001
0.9448824;2.0866153;2.6377967;3.2677183;3.8582698;4.4094512;4.8425223;5.6299243;6.8503974;8.3858313
0.63;0.83;1.06;1.34;1.81;2.44;3.11;4.06;5.67;9.92
0.47;0.83;1.3;1.97;2.87;4.02;5.08;6.5;9.06;16.06
0.12;0.43;0.55;0.91;1.46;2.4;4.25;6.06;8.35;15.2
0.39;0.75;1.18;1.81;2.48;3.23;3.74;4.65;5.63;8.27
0.63;0.91;1.14;1.42;1.73;2.4;3.54;4.84;6.54;9.45
0.5118113000000001;0.787402;1.2204731000000002;1.9291348999999998;2.4015761;3.0314977;3.6220492;4.094490400000001;5.2362233;7.3228386
0.31;0.87;1.73;2.4;3.03;3.62;4.45;5.83;7.87;9.53
0.9055122999999999;1.8110246;2.5196864;3.0708678;3.6614193;4.1732306;4.8031522;5.511814;6.7716572;8.267721
0.8661421999999999;1.574804;2.3228359;2.8740172999999998;3.3464585;3.9763801;4.7637820999999985;5.5511840999999995;7.007877799999999;9.4094539
0.47;0.94;1.54;2.32;3.11;3.98;4.92;6.14;8.03;13.7
0.787402;1.0629927;1.2992133;1.4960638000000002;1.8110246;2.2047256;2.755907;3.6614193;5.0393728;9.1338632
0.7480319000000001;1.2204731000000002;1.6141741000000005;2.2047256;2.9527575;3.6614193;4.4488213;5.7480345999999995;7.165358199999999;12.1653609
1.4566937;2.4409462000000004;3.0314977;3.5826790999999996;4.1338605;4.6456718;5.0787429;5.7874047;6.653546899999999;10.236226
0.5118113000000001;1.0236226000000002;1.4960638000000002;2.1653555;3.2677183;4.4094512;5.2362233;5.9448851;7.6377994000000005;15.9842606
0.08;0.24;0.35;0.71;1.54;2.56;4.17;5.83;7.72;11.69
0.47;0.75;1.1;1.57;2.32;3.19;4.25;5.39;6.73;12.09
0.28;0.55;1.02;2.28;3.39;4.21;4.96;6.02;7.52;9.53
0.9055122999999999;1.2992133;1.6929143;2.2047256;3.0708678;3.9763801;5.0393728;6.0629954;7.9921303;14.409456599999999
1.2992133;1.8110246;2.1259854;2.3228359;2.6771668;2.9921276000000003;3.4645687999999994;3.8582697999999995;4.4094512;6.3385861
0.7086618;1.181103;1.6535442;2.3228359;3.0708678;3.8188997000000002;4.6063017;5.6299243;7.0472479;12.3622114
0.5511814;1.0629927;1.8503947;2.4803162999999997;3.1889781000000004;3.8976398999999997;4.724412;5.7874047;7.165358199999999;9.6850446
0.8267721;1.7322843999999995;2.5196864;2.9921276000000003;3.5826791;4.094490400000001;4.6456718;5.4;6.4960665;8.976382800000001
0.7086618;0.9448824;1.2598432;1.7322843999999997;2.2440957000000004;2.8740172999999998;3.4251987;4.1338605;5.0787429;10.000005400000001
0.393701;0.7480319000000001;1.0629927;1.4960638000000002;2.0866153;2.9527575;4.2519708;5.7874047;7.5590592;11.7716599
0.63;1.02;1.5;2.01;2.83;3.94;5.0;6.34;8.27;12.72
0.9448824;1.5354339;2.0472452000000003;2.6771667999999997;3.5039389;4.2519708;5.0000027000000005;5.8267748;7.086618;11.8897702
0.43307109999999993;0.7086618;0.9448824;1.2992133;1.7716545;2.4015761;2.9921276000000003;3.6614193;4.9212625;10.511816699999999
0.5511814;0.9842525;2.1653555;3.0708678;3.7401595;4.291340900000001;4.9606325999999985;5.905515;6.929137599999999;8.976382800000001
0.31;0.67;0.98;1.46;2.09;3.11;4.49;6.02;8.62;16.06
0.5118113000000001;1.2598432;2.1259854;2.6771667999999997;3.1102379;3.6614193;4.330711;5.2755934;6.692917;11.7322898
0.5118113000000001;1.7716545;2.9527575;3.8976398999999997;4.5275615;4.9212625;5.4330738;5.7874047;6.692917;9.763784800000002
0.6299216;2.1653555;2.8346472;3.4645687999999994;3.8976399;4.4094512;5.0000027000000005;5.8267748;6.7322871;7.9921303
0.9448824;1.968505;2.4803163;3.0314977;3.3070884;4.0157502;4.5275615;5.118113;6.2204758;9.6850446
0.393701;1.0629927;1.6535442;2.1259854;2.5984266;2.9921276000000003;3.228348200000001;3.9763801;4.488191400000001;5.905515
0.1574804;0.2362206;0.6692916999999999;1.4960638000000002;1.968505;2.362206;2.9133874;3.8582697999999995;5.1968532;7.204728299999999
0.43;0.75;1.3;1.46;1.97;2.91;4.13;5.98;8.43;13.62
0.12;0.28;0.51;0.75;0.94;2.05;4.06;5.75;7.8;14.96
1.0236226000000002;1.8110246;2.362206;2.8740172999999998;3.2677183;3.7795296;4.291340900000002;5.0393728;5.8267748;9.330713699999999
0.5905515;1.4566937;2.2440957000000004;2.9527575;3.6220492;4.2126007;4.9212625;5.7480345999999995;7.716539599999999;10.1574858
0.9448824;1.181103;1.4173236;1.6141741000000003;1.9291349;2.5984266;3.3858286;4.330711;5.905515;10.826777499999999
0.393701;0.7480319000000001;1.6929143;2.5590565;3.543309;4.0551203000000005;4.6850419;5.5905542;6.5748067;9.0157529
0.5118113000000001;1.1023628;2.6377967;3.5039388999999996;4.1338605;4.6456718;5.2362233;5.905515;6.692917;11.8897702
0.1574804;0.5118113000000001;0.9055123;1.4566937;2.2834658;3.543309;4.5669316;5.9448851;8.0708705;13.5433144
0.12;0.12;0.35;0.59;0.94;1.89;3.86;6.26;10.08;18.9
0.9448824;1.4173236;1.8503947;2.5196864;3.149608;4.2519708;5.3149635;6.2598459;7.87402;14.015755599999999
1.0629927;1.4173236;1.7716545;2.2834658;2.9921276000000003;3.7401595000000003;4.5669316;5.511814;6.7716572;11.299218699999999
0.35;0.51;0.75;1.18;1.69;2.24;2.8;3.5;4.33;7.01
0.5905515;1.3385834;1.7322843999999995;2.1653555;2.4803163;2.8740172999999998;3.5039389;4.0551203000000005;4.6456718;6.1811057
0.31;0.55;0.75;1.14;1.81;2.87;4.13;5.67;7.28;14.09
0.4724412;0.8267721;1.2204731000000002;1.7716545;2.2047256;2.755907;3.228348200000001;3.7795296;4.4094512;8.3464612
0.47;0.75;1.02;1.57;2.72;3.86;4.92;6.14;8.07;11.73
0.43;0.75;1.1;1.61;2.28;3.15;4.09;5.79;7.99;13.86
0.12;0.39;0.63;0.94;1.34;1.77;2.48;3.5;5.28;11.06
0.393701;0.6692916999999999;0.9055123;1.4960638000000002;2.2834658;3.2677183;4.1732306;5.4330738;6.929137599999999;15.275598800000001
0.31;0.47;0.71;1.1;1.5;1.97;2.6;3.54;4.92;7.87
0.75;1.1;1.46;1.85;2.48;3.35;4.29;5.59;7.91;14.92
0.31;0.59;0.94;1.5;2.24;3.19;4.41;5.83;7.52;14.69
0.393701;0.5511814;0.7086618;0.9842525;1.4566937;2.0866153;3.0314977;3.7007894;4.9212625;6.8503974
0.3543309;0.7480319000000001;1.6535442;2.2834658;2.9921276000000003;3.6614193;4.4094512;5.7874047;8.110240600000001;12.0866207
1.9291348999999998;2.6377967;3.3464585;3.8582697999999995;4.5275615;4.8425223;5.4330738;6.2598459;7.480319000000001;9.055123
0.9055122999999999;1.2204731000000002;1.4960638000000002;1.8503947;2.3228359;3.1889781000000004;4.1732306;5.984255200000001;9.7244147;14.133865900000002
0.16;0.28;0.31;0.55;1.06;1.97;2.87;3.66;4.61;7.13
0.8661421999999999;1.2598432;1.6929143;2.2047256;2.8740173;3.6614193;4.5669316;5.6299243;7.007877799999999;15.590559599999999
0.12;0.43;0.63;0.98;1.93;3.15;4.25;5.43;8.23;15.08
0.5118113000000001;1.0629927;1.3779535;1.8110245999999999;2.2834658;2.9527575;3.8976399;5.511814;6.968507700000001;10.787407400000001
0.28;0.67;1.14;1.81;2.76;3.82;4.84;6.38;8.19;13.7
0.6692916999999999;2.0866153;2.9921276000000003;3.7401595000000003;4.370081099999998;4.960632599999999;5.4330738;6.0236253;7.5196891;10.314966199999999
0.1968505;0.4724412;0.787402;1.3385833999999999;1.9291349;2.5590565;3.228348200000001;3.9763801;5.472443900000001;7.795279799999999
0.9448824;1.1417329;1.3385834;1.574804;1.8503947;2.3228359;3.149608;4.094490400000001;5.1968532;8.4252014
0.3;0.6;0.9;1.3;1.8;2.6;3.8;5.2;7.6;10.9
0.63;1.01;1.46;1.89;2.56;3.43;4.37;5.39;6.89;13.46
0.1181103;0.2362206;0.3149608;0.4724412;0.6692916999999999;1.4173236;3.3464585;5.7874047;9.1338632;16.220481200000002
0.6299216;0.9448824;1.2598432;1.5354339;1.8897648;2.5196864;3.3858286;4.2519708;5.7480345999999995;10.5511868
0.5118113000000001;0.7086618;0.9448824;1.2204731000000002;1.6141741000000005;2.362206;3.93701;5.4330738;8.4252014;18.2677264
0.24;0.39;0.63;0.94;1.38;2.09;2.87;3.66;5.0;8.98
0.2;0.39;0.55;0.83;1.22;1.89;2.56;3.5;4.76;11.65
0.5118113000000001;1.0629927;1.7716545;2.4409462000000004;3.2677183;4.1338605;4.8425223;5.6299243;6.968507700000001;8.976382800000001
0.595242;0.962514;1.378514;1.94258;2.820514;3.6251477999999997;4.5021580000000005;5.6203578;7.3258496;10.251584
0.5118113000000001;0.9842525;1.5354339;2.1653555;2.8740173;3.6220491999999997;4.4488213;5.5905542;6.8503974;13.8189051
0.5118113000000001;0.7086618;0.9448824;1.2204731000000002;1.6141741000000005;2.0866153;2.755907;3.6614193;5.511814;9.6850446
1.2598432;2.0866153;2.4803163;2.9133874;3.2677183;3.7795296;4.4094512;4.9212625;6.5354366;11.2598486
0.55;0.91;1.5;1.97;2.44;2.91;3.58;4.33;5.28;8.27
0.16;0.67;1.1;1.61;2.4;3.54;4.72;6.34;8.27;13.39
1.3385833999999999;2.1653555;2.7165369;3.1889781000000004;3.5826791;4.2126007;4.724412;5.511814;6.4960665;8.976382800000001
0.5118113000000001;0.7480319000000001;1.0236226000000002;1.3779535;1.9291349;2.9527575;3.93701;5.5905542;7.5196891;12.6771722
1.0629927;1.4173236;1.8110246;2.3228359;3.1102379;3.8582697999999995;4.6063017;5.472443900000001;6.8897675000000005;11.968510400000001
0.5511814;1.2598432;2.2834658;3.1102379;3.7007894;4.1732306;4.8425223;5.472443900000001;5.9448851;9.330713699999999
0.5511814;0.9448824;1.8110246;2.7165369;3.543309;4.1732306;4.9606325999999985;5.905515;7.3228386;10.787407400000001
0.5511814;0.7480319000000001;0.9842525;1.2992133;1.7716545;2.3228359;2.9133874;3.6220491999999997;4.488191400000001;8.3464612
0.39;0.71;1.02;1.42;2.05;2.99;4.13;5.71;8.7;19.37
0.7086618;1.1417329;1.7322843999999995;2.3228359;3.0708678;3.8188997000000002;4.6063017;5.5511840999999995;6.456696400000001;10.354336300000002
1.0629927;1.6929143;2.2047256;2.8346472;3.228348200000001;3.8582697999999995;4.5275615;5.2755934;6.456696400000001;9.055123
0.12;0.43;0.71;1.14;1.89;2.52;3.11;3.74;4.61;8.9
0.5511814;0.787402;1.1023628;1.5354339;2.0866153;2.6377967;3.2677183;3.93701;4.8031522;7.6377994000000005
0.6299216;0.9055123;1.181103;1.574804;2.0472452000000003;2.6377967;3.1889781000000004;3.8188997000000002;4.6063017;6.653546899999999
0.4724412;1.4173236;2.2834658;2.9133874;3.5039389;4.1338605;4.724412;5.5511840999999995;6.456696400000001;7.5984293
0.47;0.91;1.46;1.93;2.44;2.91;3.39;3.9;5.0;8.07
0.5118113000000001;0.7480319000000001;1.0629927;1.5354339;2.1653555;3.1102379;4.0944904000000015;5.3149635;7.086618;10.1574858
0.7086618;1.2204731000000002;2.0472452000000003;3.149608;4.0157502;4.8425223;5.5511841;6.2598459;7.480319000000001;11.7716599
0.7480319000000001;1.574804;2.6377967;3.2677183;3.7795296;4.4094512;5.1574830999999985;5.8267748;7.086618;10.314966199999999
1.0236226000000002;1.574804;2.0472452000000003;2.7165369;3.3858286;4.1338605;5.0000027000000005;6.102365499999999;7.480319000000001;14.9212679
0.8267721;1.3385834;2.0866153;2.755907;3.4645687999999994;3.8976398999999997;4.4094512;5.3543335999999995;6.1811057;9.4881941
0.393701;0.6692916999999999;1.0236226000000002;1.4960638000000002;2.0472452000000003;2.5590565;3.1102379;3.7401595000000003;4.6456718;6.968507700000001
0.2755907;0.4330710999999999;0.7086618;1.1023628;1.6535442;2.2047256;2.7165369;3.6220491999999997;4.370081099999999;7.3228386
0.8267721;1.1023628;1.3385834;1.6535442;2.1259854;2.8740172999999998;3.93701;5.6692944;8.7795323;15.6299297
0.12;0.35;0.47;0.75;1.22;1.81;2.99;4.65;7.32;9.96
0.47;0.71;0.91;1.14;1.46;1.93;2.72;3.66;5.0;9.33
0.12;0.31;0.59;0.91;1.5;2.68;4.06;5.71;8.07;14.25
0.6251489;0.9251487;1.2541586999999998;1.96325148;2.925418526;3.5214528;4.5214582000000005;5.61254896;7.4525159;10.814258
0.6299216;1.0236226000000002;1.4960638000000002;2.2047256;3.1102379;4.1338605;5.0000027000000005;5.905515;7.007877799999999;11.102368199999999
